#,NameAction,Icon,Addon,Unknown0,QuickChatTransient
0,已失效的快捷發言,783,0,0,0
1,大家好！,9901,11030,1,1
2,辛苦了！,9902,11031,2,2
3,謝謝！,9903,11032,3,3
4,漂亮！,9904,11033,4,5
5,報告：PvP用額外技能1,9927,11034,0,6
6,報告：極限爆發,9906,11035,6,23
7,瞄準：攻擊補給箱,9907,11036,0,10
8,瞄準：防禦補給箱,9908,11037,0,11
9,瞄準：奮戰補給箱,9909,11038,0,12
10,瞄準：狼心,9910,11039,0,13
11,攻擊：防護職業,9911,11040,0,14
12,攻擊：治療職業,9912,11041,0,15
13,攻擊：近戰職業,9913,11042,0,16
14,攻擊：遠程職業,9914,11043,0,17
15,牽制：防護職業,9915,11044,0,19
16,牽制：治療職業,9916,11045,0,20
17,牽制：近戰職業,9917,11046,0,21
18,牽制：遠程職業,9918,11047,0,22
19,我來拾取戰章,9919,11048,0,24
20,請去拾取戰章,9920,11049,0,25
21,號令：進攻,9921,11050,21,53
22,號令：撤退,9922,11051,22,55
23,報告：MP,9923,11052,23,22
24,報告：技力,9924,11053,0,9
25,攻擊：目標,9925,11054,25,50
26,干擾：目標,9926,11055,26,51
27,報告：PvP用額外技能2,9928,11056,0,7
28,呼籲：集中攻擊目標,9935,11057,0,28
29,呼籲：停止集中攻擊,9936,11058,0,29
30,道歉,9965,11713,30,4
31,行動：前進,9966,11714,31,40
32,行動：後撤,9967,11715,32,41
33,我來押運戰術水晶,9968,11716,33,56
34,請去押運戰術水晶,9969,11717,34,57
35,掩護：目標,9964,11718,35,52
36,自身發動極限爆發,9970,14904,36,24
37,呼籲：集合,9971,14905,37,54
38,報告：淨化,9905,11034,38,20
39,報告：防禦,9972,11034,39,21
