#,Text,Unknown0,Unknown1,Name,Unknown2,Unknown3
0,,,,0,0,0
1,,,,0,0,0
2,,,,0,0,0
3,,,,0,0,0
4,,,,0,0,0
5,,,,0,0,0
6,,,,0,0,0
7,,,,0,0,0
8,,,,0,0,0
9,,,,0,0,0
10,"……怎麼了？
想買勒昂羅的話，1枚孚布特金幣可不夠哦？",,,10,61,1
11,水晶公說了什麼來著……,,,11,61,1
12,"好黑啊……
要不要從上面借點蠟燭過來？",,,12,61,1
13,"…………
幹嘛一直盯著我看啊？
這邊的調查還需要點時間。",,,13,61,1
14,"好痛……
為、為什麼要瞄準我啊……",,,14,61,1
15,"即使被擊中也紋絲不動，一直盯著這邊看。
看來至少不是矮人族……",,,0,57,7
16,"哦哦，射對啦！
為你的判斷力和行動力鼓掌啦哩！",,,15,61,1
17,"射錯啦！
我戴的可是真真正正的特爾頭盔！
錯啦錯啦！嗯……錯啦！",,,16,61,1
18,"嘎哈哈哈！哼哼！哼哼哼！
不可以對我進行射擊哦，看來你還差得遠呢！",,,17,61,1
19,發現了疑似目標人物！,,,0,57,7
20,"……穩重的氣場。
不過並不是貓秘族。",,,0,57,7
21,"看起來很舊的壁畫。
身處中央的人物舉著武器。
黑色野獸被打倒，周圍的人們看起來都很開心……",,,0,57,7
22,"看起來非常舊的壁畫。
坐在王座上的人物正在接受很多人的謁見……",,,0,57,7
23,"看起來相當舊的壁畫。
裡面畫有數名與湧動的黑暗對峙的人物，
不過中央部分被刮掉許多……",,,0,57,7
24,"那個是垂涎欲滴烙餅！
裡面加入了又酸又甜的仙人掌的果實，
所以乾一點也沒關係！有助於健康！",,,10,61,1
25,"那個是鬥志熊熊火腿！
是將蜥蜴的貴重部位利用秘傳香料製成的火腿！
雖然味道有點奇怪，但是吃了它能讓身體變得結實！",,,10,61,1
26,"那個是黏黏小串！
是將隱藏在附近石場中的小型青蛙簡單烤製得到的！
很爽口，不黏牙！",,,10,61,1
27,"那個是軟軟醃白蚯蚓！
是將大家都很喜歡的白蚯蚓蘸到蜜汁裡的夢幻美食！
吃完這個就吃不下其他甜食了！",,,10,61,1
28,發現了古舊的石板！,,,0,57,7
29,"嗯……這個應該是祭壇，
不過卻沒看到夜之民的代表性祭具水鏡啊。
是他們離開的時候只把那個帶走了吧……",,,18,61,1
30,"發現了疑似目標人物！
但是往村落那邊逃走了……",,,0,57,7
31,"一直在盯著這邊看。
似乎不是神秘的人影……",,,0,57,7
32,"啦哩吼！幹得漂亮！
保持這個狀態，正式挑戰的時候也要加油啊！",,,15,61,1
33,"高聳著的細長建築，上面有很多窗戶。
是不曾在其他地方見到過的獨特設計。",,,0,57,7
34,"……為什麼會有鯨頭鸛？
完全不知道為什麼，但就是莫名其妙地出現在那裡。",,,0,57,7
35,"冰海天使的幼體臉上一副柔弱的表情……
肯定是個特別老實的生物。",,,0,57,7
36,"咦？！不要趁亂瞄準我啊！
兜帽我是不會摘下來的！",,,14,61,1
37,"即使被擊中也紋絲不動，
一直、一直盯著這邊看。
看來並不是矮人族……",,,0,57,7
38,,,,0,0,0
39,"哎呀？！
你幹嘛！
請不要打擾我工作！",,,22,61,1
40,"嗯……從這裡看得不是很清楚，
水箱上面連著金色的管子吧？","然後透過稍微靠下的窗戶看過去……
水箱的下部似乎也連接著巨大的管子。","也就是說，這是用來對採集的水
進行過濾除雜的淨水裝置吧。",20,61,1
41,"有一個巨大的筒矗立在牆的旁面……
從聲音來判斷，牆的另一面是水源吧？","然後筒的頂端突出的那個軸，
則透過傳導裝置與旋轉的車輪狀動力裝置相連……","也就是說，這就是打水裝置！
筒裡應該有能夠旋轉的螺旋槳。",20,61,1
