#,InlineName,Name,Color,Shade,SubOrder,IsMetallic,IsHousingApplicable
0,,無染色,0,2,1,False,True
1,素雪白,素雪白,14999504,2,2,False,True
2,蒼白灰,蒼白灰,11315362,2,3,False,True
3,古卜灰,古卜灰,9013124,2,4,False,True
4,石板灰,石板灰,6645093,2,5,False,True
5,木炭灰,木炭灰,4736834,2,6,False,True
6,煤煙黑,煤煙黑,2828579,2,7,False,True
7,玫瑰粉,玫瑰粉,15114134,4,1,False,True
8,丁香紫,丁香紫,8612201,4,2,False,True
9,羅蘭莓,羅蘭莓,5969705,4,3,False,True
10,衛月紅,衛月紅,7871002,4,4,False,True
11,鐵鏽紅,鐵鏽紅,6431239,4,5,False,True
12,果酒紅,果酒紅,4527377,4,6,False,True
13,珊瑚粉,珊瑚粉,13397086,4,7,False,True
14,鮮血紅,鮮血紅,9517863,4,8,False,True
15,鮭魚粉,鮭魚粉,14985866,4,9,False,True
16,日落橙,日落橙,12016685,5,1,False,True
17,台地紅,台地紅,8206598,5,2,False,True
18,樹皮棕,樹皮棕,6966071,5,3,False,True
19,巧克力,巧克力,7224612,5,4,False,True
20,鐵鏽棕,鐵鏽棕,5188895,5,5,False,True
21,鈷鐵棕,鈷鐵棕,3154203,5,6,False,True
22,軟木棕,軟木棕,13209942,5,7,False,True
23,盧恩棕,盧恩棕,10055231,5,8,False,True
24,奧猴棕,奧猴棕,8084525,5,9,False,True
25,山羊棕,山羊棕,10651484,5,10,False,True
26,南瓜橙,南瓜橙,12940324,5,11,False,True
27,橡果棕,橡果棕,9328667,5,12,False,True
28,果園棕,果園棕,6570518,5,13,False,True
29,山栗棕,山栗棕,4008205,5,14,False,True
30,哥布林,哥布林,12166281,5,15,False,True
31,葉岩棕,葉岩棕,9601388,5,16,False,True
32,鼴鼠棕,鼴鼠棕,6378053,5,17,False,True
33,沃土棕,沃土棕,4141865,5,18,False,True
34,骸骨白,骸骨白,15455136,6,1,False,True
35,黃沙棕,黃沙棕,12034928,6,2,False,True
36,陸行鳥黃,陸行鳥黃,14398551,6,3,False,True
37,蜂蜜黃,蜂蜜黃,16434731,6,4,False,True
38,玉米黃,玉米黃,14982708,6,5,False,True
39,猛豹黃,猛豹黃,12355588,6,6,False,True
40,奶油黃,奶油黃,15914864,6,7,False,True
41,日影黃,日影黃,10847280,6,8,False,True
42,萄乾棕,萄乾棕,4207377,6,9,False,True
43,泥沼綠,泥沼綠,5788208,7,1,False,True
44,風精靈綠,風精靈綠,12303242,7,2,False,True
45,青檸綠,青檸綠,11251796,7,3,False,True
46,苔蘚綠,苔蘚綠,7369510,7,4,False,True
47,牧草綠,牧草綠,9149539,7,5,False,True
48,橄欖綠,橄欖綠,4936242,7,6,False,True
49,沼澤綠,沼澤綠,3290657,7,7,False,True
50,蘋果綠,蘋果綠,10204003,7,8,False,True
51,仙人掌怪,仙人掌怪,6652481,7,9,False,True
52,獵人綠,獵人綠,2640684,7,10,False,True
53,腐獸綠,腐獸綠,4219705,7,11,False,True
54,金龜綠,金龜綠,6255960,7,12,False,True
55,地神綠,地神綠,3886396,7,13,False,True
56,深林綠,深林綠,1976865,7,14,False,True
57,天上藍,天上藍,9878969,7,15,False,True
58,綠松藍,綠松藍,4420210,7,16,False,True
59,魔花綠,魔花綠,2049606,7,17,False,True
60,寒冰藍,寒冰藍,11715790,8,1,False,True
61,天空藍,天空藍,8630482,8,2,False,True
62,海霧藍,海霧藍,6586784,8,3,False,True
63,孔雀藍,孔雀藍,3893382,8,4,False,True
64,羅海藍,羅海藍,1850708,8,5,False,True
65,腐屍藍,腐屍藍,9345964,8,6,False,True
66,青磷藍,青磷藍,5199718,8,7,False,True
67,靛青藍,靛青藍,3094609,8,8,False,True
68,油墨藍,油墨藍,1711911,8,9,False,True
69,盜龍藍,盜龍藍,5996480,8,10,False,True
70,東洲藍,東洲藍,3102857,8,11,False,True
71,風暴藍,風暴藍,2310514,8,12,False,True
72,虛空藍,虛空藍,1124676,8,13,False,True
73,皇室藍,皇室藍,2568295,8,14,False,True
74,午夜藍,午夜藍,1579319,8,15,False,True
75,陰影藍,陰影藍,3618631,8,16,False,True
76,深淵藍,深淵藍,3222871,8,17,False,True
77,薰衣草,薰衣草,8880046,9,1,False,True
78,憂鬱紫,憂鬱紫,5326176,9,2,False,True
79,醋栗紫,醋栗紫,3288123,9,3,False,True
80,鳶尾紫,鳶尾紫,12033724,9,4,False,True
81,葡萄紫,葡萄紫,3877437,9,5,False,True
82,蓮花粉,蓮花粉,16699125,9,6,False,True
83,蜂鳥粉,蜂鳥粉,14457802,9,7,False,True
84,仙子梅,仙子梅,7950956,9,8,False,True
85,帝王紫,帝王紫,6697038,9,9,False,True
86,寶石紅,寶石紅,14942225,4,10,False,True
87,櫻桃粉,櫻桃粉,16070555,4,11,False,True
88,絲雀黃,絲雀黃,16709732,6,10,False,True
89,香草黃,香草黃,16511412,6,11,False,True
90,龍騎藍,龍騎藍,3746,8,18,False,True
91,松石藍,松石藍,307149,8,19,False,True
92,砲銅黑,砲銅黑,6316136,10,21,True,False
93,珍珠白,珍珠白,15328218,10,22,True,False
94,金屬銅,金屬銅,15192471,10,23,True,False
95,胭脂紅,胭脂紅,14551830,4,12,False,True
96,霓虹粉,霓虹粉,15536526,4,13,False,True
97,明亮橙,明亮橙,16011281,5,19,False,True
98,霓虹黃,霓虹黃,14674440,6,12,False,True
99,霓虹綠,霓虹綠,11925264,7,18,False,True
100,碧空藍,碧空藍,3820688,8,20,False,True
101,無瑕白,無瑕白,16382196,10,1,False,True
102,煤玉黑,煤玉黑,1973790,10,2,False,True
103,柔彩粉,柔彩粉,16632006,10,3,False,True
104,黑暗紅,黑暗紅,3283225,10,4,False,True
105,黑暗棕,黑暗棕,2629916,10,5,False,True
106,柔彩綠,柔彩綠,12242858,10,6,False,True
107,黑暗綠,黑暗綠,1387564,10,7,False,True
108,柔彩藍,柔彩藍,9872601,10,8,False,True
109,黑暗藍,黑暗藍,1187629,10,9,False,True
110,柔彩紫,柔彩紫,12301786,10,10,False,True
111,黑暗紫,黑暗紫,2301990,10,11,False,True
112,閃耀銀,閃耀銀,10987431,10,12,True,False
113,閃耀金,閃耀金,15590973,10,13,True,False
114,金屬紅,金屬紅,11935051,10,14,True,False
115,金屬橙,金屬橙,14978095,10,15,True,False
116,金屬黃,金屬黃,16046662,10,16,True,False
117,金屬綠,金屬綠,2271063,10,17,True,False
118,金屬藍,金屬藍,6214886,10,18,True,False
119,金屬靛,金屬靛,5264089,10,19,True,False
120,金屬紫,金屬紫,10708674,10,20,True,False
121,羅蘭紫,羅蘭紫,6443151,9,10,False,True
122,金屬粉,金屬粉,10639723,10,24,True,False
123,金屬寶石紅,金屬寶石紅,2031616,10,25,True,False
124,金屬鈷鐵綠,金屬鈷鐵綠,1393215,10,26,True,False
125,金屬黑暗藍,金屬黑暗藍,524831,10,27,True,False
126,,,0,0,0,False,False
127,,,0,0,0,False,False
128,,,0,0,0,False,False
