#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint
0,,,0,0,483,927,0,1,0,0,0,0,True
1,A　潔白淺灘,A,10610,180,640,880,100,1,1,1,1,10,False
2,B　溺沒海1,B,10610,180,570,750,300,1,1,1,1,10,False
3,C　溺沒海2,C,27840,240,740,700,300,1,1,4,1,10,False
4,D　無光海盆,D,27840,240,400,850,500,1,1,4,2,10,False
5,E　溺沒海3,E,46660,300,650,610,200,1,1,7,2,11,False
6,F　利米拉拉海溝南端,F,46660,300,850,850,600,1,1,7,3,11,False
7,G　傘峽,G,75920,360,260,760,100,1,1,10,1,11,False
8,H　俘虜島,H,102600,420,120,840,100,1,2,14,1,12,False
9,I　石人島,I,118350,420,380,660,100,1,2,17,1,12,False
10,J　無名沉船,J,146210,480,900,600,600,1,2,20,3,12,False
11,K　湛藍淺灘,K,146210,480,520,550,300,1,2,20,6,12,False
12,L　神秘海盆,L,174980,540,260,570,600,1,3,24,6,13,False
13,M　溺沒海4,M,200430,600,90,630,100,1,3,27,6,13,False
14,N　利米拉拉海溝中部,N,200430,600,800,550,400,1,3,27,6,13,False
15,O　探索號殘骸,O,231750,660,630,490,500,1,3,30,6,14,False
16,P　樹叢島,P,231750,660,290,365,100,1,3,30,6,14,False
17,Q　金山島,Q,263530,720,115,350,0,1,4,34,6,14,False
18,R　海軍的秘密港口,R,292170,780,150,540,600,1,4,37,6,15,False
19,S　溺沒海5,S,292170,780,320,230,200,1,4,37,6,15,False
20,T　煉獄島,T,338330,840,130,180,100,1,4,40,6,15,False
21,U　溺沒海6,U,338330,840,465,330,100,1,4,40,6,15,False
22,V　利米拉拉海溝大傾斜,V,374020,900,555,225,600,1,5,44,6,16,False
23,W　溺沒海7,W,374020,900,710,370,300,1,5,44,6,16,False
24,X　輝砂海盆,X,406590,960,900,355,800,1,5,47,6,16,False
25,Y　殘照白谷,Y,406590,960,210,90,100,1,5,47,6,16,False
26,Z　前進號的殘骸,Z,440990,1020,430,100,1000,1,5,50,6,17,False
27,AA　變理海域,AA,440990,1020,830,210,800,1,5,50,6,17,False
28,AB　利米拉拉海溝最深部,AB,440990,1020,750,90,1000,1,5,50,6,17,False
29,AC　石造寺院遺跡,AC,440990,1020,895,100,1000,1,5,50,6,17,False
30,AD　古代寶物庫,AD,440990,1020,595,100,800,1,5,50,6,17,False
31,,,0,0,483,927,0,2,0,0,0,0,True
32,A　佐佐納恩島南端,A,440990,480,290,750,100,2,1,50,6,12,False
33,B　風行者的殘骸,B,440990,480,150,840,100,2,1,50,6,12,False
34,C　佐佐納恩島北端,C,480270,540,280,570,100,2,2,54,6,13,False
35,D　灰海1,D,480270,540,430,660,300,2,2,54,6,13,False
36,E　火葬爐海溝南端,E,522300,600,590,750,600,2,2,57,6,14,False
37,F　灰海2,F,522300,600,180,440,300,2,2,57,6,14,False
38,G　灰海3,G,548410,660,350,480,300,2,3,60,6,15,False
39,H　修道士墓碑,H,548410,660,340,330,600,2,3,60,6,15,False
40,I　火葬爐海溝中部,I,548410,660,500,580,600,2,3,60,6,15,False
41,J　神父的岩窟,J,548410,660,460,420,600,2,3,60,6,15,False
42,K　灰海4,K,548410,660,140,310,300,2,3,60,6,15,False
43,L　砂礫海盆,L,595020,720,440,200,600,2,4,63,6,16,False
44,M　單只手套島,M,595020,720,820,550,100,2,4,63,6,16,False
