#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,0,0,0,False
1,用亞拉戈傳承神典石兌換亞拉戈詩學神典石,5,1,50,False
2,用亞拉戈聖典神典石兌換亞拉戈詩學神典石,4,1,50,False
3,用亞拉戈真理神典石兌換亞拉戈萬物神典石,4,2,25,False
4,用亞拉戈萬物神典石兌換亞拉戈虛構神典石,4,2,25,False
5,用亞拉戈虛構神典石兌換亞拉戈詩學神典石,5,1,50,False
6,用亞拉戈創世神典石兌換亞拉戈詩學神典石,4,1,50,False
7,用亞拉戈魔典神典石兌換亞拉戈幻想神典石,4,2,25,False
8,用亞拉戈幻想神典石兌換亞拉戈奇譚神典石,4,2,25,False
9,用亞拉戈奇譚神典石兌換亞拉戈詩學神典石,5,1,50,False
10,用亞拉戈默示神典石兌換亞拉戈詩學神典石,4,1,50,False
11,用亞拉戈經典神典石兌換亞拉戈天文神典石,4,2,25,False
12,用亞拉戈天文神典石兌換亞拉戈因果神典石,4,2,25,False
13,用亞拉戈因果神典石兌換亞拉戈詩學神典石,5,1,50,False
14,用亞拉戈神曲神典石兌換亞拉戈詩學神典石,4,1,50,False
15,用亞拉戈美學神典石兌換亞拉戈天道神典石,4,2,25,True
