#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0
0,,0,0,0,0,0,0,0,0
1,耐力提高,0,0,0,0,0,0,0,0
2,耐力提高II,0,0,0,0,0,0,0,0
3,耐力提高III,0,0,0,0,0,0,0,0
4,耐力提高,0,0,0,0,0,0,0,0
5,耐力提高II,0,0,0,0,0,0,0,0
6,耐力提高III,0,0,0,0,0,0,0,0
7,力量提高,0,0,0,0,0,0,0,0
8,力量提高II,0,0,0,0,0,0,0,0
9,力量提高III,0,0,0,0,0,0,0,0
10,疾風迅雷效果提高,0,0,0,0,0,0,0,0
11,疾風迅雷效果提高II,0,0,0,0,0,0,0,0
12,力量提高,0,0,0,0,0,0,0,0
13,力量提高II,0,0,0,0,0,0,0,0
14,力量提高III,0,0,0,0,0,0,0,0
15,靈巧提高,0,0,0,0,0,0,0,0
16,靈巧提高II,0,0,0,0,0,0,0,0
17,強力射擊效果提高,0,5321,0,5,50,2,50,0
18,技能傷害提高,0,5302,10,5,50,20,50,0
19,靈巧提高III,0,0,0,0,0,0,0,0
20,技能傷害提高II,0,5303,20,5,50,40,50,0
21,精神提高,0,0,0,0,0,0,0,0
22,精神提高II,0,0,0,0,0,0,0,0
23,技能效果提高,0,5185,10,6,53,20,53,0
24,精神提高III,0,0,0,0,0,0,0,0
25,療傷效果提高,0,5330,0,6,53,32,53,0
26,技能效果提高II,0,5186,30,6,53,40,53,0
27,智力提高,0,0,0,0,0,0,0,0
28,智力提高II,0,0,0,0,0,0,0,0
29,技能效果提高,0,5185,10,7,55,20,55,0
30,智力提高III,0,0,0,0,0,0,0,0
31,技能效果提高II,0,5186,30,7,55,40,55,0
32,火苗,0,5352,0,7,55,42,55,0
33,雷雲,0,5355,0,0,0,0,0,0
34,自動三角測量,0,5451,0,17,18,2,18,0
35,潛行效果提高,0,0,30,0,0,0,0,0
36,潛行效果提高II,0,0,40,0,0,0,0,0
37,潛行效果提高III,0,0,50,0,0,0,0,0
38,自動礦脈勘探,0,5426,0,16,17,2,17,0
39,潛行效果提高,0,0,30,0,0,0,0,0
40,潛行效果提高II,0,0,40,0,0,0,0,0
41,潛行效果提高III,0,0,50,0,0,0,0,0
42,樹木低吟,0,5455,0,17,18,11,18,0
43,樹木低吟II,0,5456,0,17,18,16,18,0
44,樹木低吟III,0,5457,0,17,18,21,18,0
45,樹木低吟IV,0,5458,0,17,18,26,18,0
46,十二神加護效果提高,0,5459,0,17,18,41,18,0
47,十二神加護效果提高II,0,5460,0,17,18,50,18,0
48,岩石低吟,0,5430,0,16,17,11,17,0
49,岩石低吟II,0,5431,0,16,17,16,17,0
50,岩石低吟III,0,5432,0,16,17,21,17,0
51,岩石低吟IV,0,5433,0,16,17,26,17,0
52,十二神加護效果提高,0,5434,0,16,17,41,17,0
53,十二神加護效果提高II,0,5435,0,16,17,50,17,0
54,沙海垂釣,0,5483,0,18,19,35,19,0
55,雲海垂釣,0,5484,0,18,19,45,19,0
56,潛行效果提高,0,0,30,0,0,0,0,0
57,潛行效果提高II,0,0,40,0,0,0,0,0
58,潛行效果提高III,0,0,50,0,0,0,0,0
59,魚鷹之眼,0,5479,15,18,19,15,19,0
60,魚鷹之眼II,0,0,35,0,0,0,0,0
61,魚鷹之眼III,0,0,50,0,0,0,0,0
62,以小釣大效果提高,0,5482,0,18,19,40,19,0
63,乙太超流效果提高,0,0,0,0,0,0,0,0
64,智力提高,0,0,0,0,0,0,0,0
65,智力提高II,0,0,0,0,0,0,0,0
66,技能效果提高,0,5185,10,26,68,20,68,0
67,乙太超流效果提高II,0,0,0,0,0,0,0,0
