#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,,0,0,0,0,False
1,天選,出現什麼規則完全交給命運女神來決定。,0,0,0,0,False
2,全明牌,互相公開手中所有的卡片進行遊戲。,1000,3,0,0,False
3,三明牌,互相隨機公開手中三張卡片進行遊戲。,1166,2,0,0,False
4,同數,打出的卡片如果2邊以上（含2邊）的數值均與相鄰的卡片數值相等，則會取得相鄰卡片的控制權。,666,0,0,0,False
5,不勝不休,出現平局時會以場上雙方各自控制的卡片重新開始對局。,1333,0,0,0,True
6,加算,打出的卡片如果2邊以上（含2邊）的數值各自與相鄰的卡片對應數值相加的和相等，則會取得相鄰卡片的控制權。,666,0,0,0,False
7,隨機,各自從手中所有卡片中隨機抽出5張卡進行對局。,1000,15,0,0,True
8,秩序,雙方必須按照卡組中卡片的位置順序使用卡片。,1666,9,15,0,False
9,混亂,雙方必須按照隨機決定的順序使用卡片。,1433,8,0,0,False
10,逆轉,逆轉卡片的強度。,1000,0,0,0,False
11,王牌殺手,A會被1所控制。逆轉規則下1會被A所控制。,666,0,0,0,False
12,同類強化,帶有類型的卡片會隨場上設置的同一類型卡片的數量增多而變強。,1000,13,0,0,False
13,同類弱化,帶有類型的卡片會隨場上設置的同一類型卡片的數量增多而變弱。,1000,12,0,0,False
14,交換,雙方隨機從自己的卡組中抽出一張卡與對方交換。,1666,0,0,0,False
15,選拔,以隨機分配到的卡片組成卡組進行對戰。,1000,7,8,0,False
