#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,完成1次探索任務,1,0,50,0,1
1,完成3種探索任務,3,0,75,1,1
2,獲得1次探索任務的金星獎勵,1,0,75,2,1
3,完成1次緊急探索任務,1,0,50,3,1
4,完成1次機甲行動,1,0,100,4,1
5,挑戰1次宇宙好運道,1,0,50,5,1
6,完成10次月球探索任務,10,1,300,6,2
7,完成50次月球探索任務,50,1,450,7,2
8,完成100次月球探索任務,100,1,900,8,2
9,完成500次月球探索任務,500,1,1500,9,2
10,完成10種月球探索任務,10,1,300,10,2
11,完成50種月球探索任務,50,1,900,11,2
12,完成100種月球探索任務,100,1,2400,12,2
13,獲得10種月球探索任務的金星獎勵,10,1,300,13,2
14,獲得50種月球探索任務的金星獎勵,50,1,900,14,2
15,獲得100種月球探索任務的金星獎勵,100,1,2400,15,2
16,完成1次月球的緊急探索任務,1,2,500,16,2
17,完成10次月球的緊急探索任務,10,2,1000,17,2
18,完成30次月球的緊急探索任務,30,2,3000,18,2
19,以駕駛員身份參加並完成1次月球的機甲行動,1,1,1500,22,2
20,以駕駛員身份參加並完成5次月球的機甲行動,5,1,3000,23,2
21,以駕駛員身份參加並完成10次月球的機甲行動,10,1,4500,24,2
22,以協助員身份參加並完成5次月球的機甲行動,5,1,300,25,2
23,以協助員身份參加並完成20次月球的機甲行動,20,1,900,26,2
24,以協助員身份參加並完成50次月球的機甲行動,50,1,2100,27,2
25,完成木工師的3種月球D階探索任務,3,3,50,28,2
26,完成木工師的4種月球C階探索任務,4,3,100,29,2
27,獲得木工師的3種月球B階探索任務的金星獎勵,3,3,200,30,2
28,完成鍛造師的3種月球D階探索任務,3,7,50,31,2
29,完成鍛造師的4種月球C階探索任務,4,7,100,32,2
30,獲得鍛造師的3種月球B階探索任務的金星獎勵,3,7,200,33,2
31,完成甲冑師的3種月球D階探索任務,3,11,50,34,2
32,完成甲冑師的4種月球C階探索任務,4,11,100,35,2
33,獲得甲冑師的3種月球B階探索任務的金星獎勵,3,11,200,36,2
34,完成金工師的3種月球D階探索任務,3,15,50,37,2
35,完成金工師的4種月球C階探索任務,4,15,100,38,2
36,獲得金工師的3種月球B階探索任務的金星獎勵,3,15,200,39,2
37,完成皮革師的3種月球D階探索任務,3,19,50,40,2
38,完成皮革師的4種月球C階探索任務,4,19,100,41,2
39,獲得皮革師的3種月球B階探索任務的金星獎勵,3,19,200,42,2
40,完成裁縫師的3種月球D階探索任務,3,23,50,43,2
41,完成裁縫師的4種月球C階探索任務,4,23,100,44,2
42,獲得裁縫師的3種月球B階探索任務的金星獎勵,3,23,200,45,2
43,完成鍊金術師的3種月球D階探索任務,3,27,50,46,2
44,完成鍊金術師的4種月球C階探索任務,4,27,100,47,2
45,獲得鍊金術師的3種月球B階探索任務的金星獎勵,3,27,200,48,2
46,完成烹調師的3種月球D階探索任務,3,31,50,49,2
47,完成烹調師的4種月球C階探索任務,4,31,100,50,2
48,獲得烹調師的3種月球B階探索任務的金星獎勵,3,31,200,51,2
49,完成園藝師的3種月球D階探索任務,3,39,50,55,2
50,完成園藝師的4種月球C階探索任務,4,39,100,56,2
51,獲得園藝師的3種月球B階探索任務的金星獎勵,3,39,200,57,2
52,完成採掘師的3種月球D階探索任務,3,35,50,52,2
53,完成採掘師的4種月球C階探索任務,4,35,100,53,2
54,獲得採掘師的3種月球B階探索任務的金星獎勵,3,35,200,54,2
55,完成漁師的3種月球D階探索任務,3,43,50,58,2
56,完成漁師的4種月球C階探索任務,4,43,100,59,2
57,獲得漁師的3種月球B階探索任務的金星獎勵,3,43,200,60,2
58,挑戰5次月球的宇宙好運道,5,1,300,61,2
59,挑戰30次月球的宇宙好運道,30,1,600,62,2
60,挑戰100次月球的宇宙好運道,100,1,900,63,2
61,完成5種月球的緊急探索任務,5,2,1000,19,2
62,完成15種月球的緊急探索任務,15,2,2000,20,2
63,完成33種月球的緊急探索任務,33,2,3000,21,2
64,,0,0,0,0,0
65,,0,0,0,0,0
66,,0,0,0,0,0
67,,0,0,0,0,0
68,,0,0,0,0,0
69,,0,0,0,0,0
70,,0,0,0,0,0
71,,0,0,0,0,0
72,,0,0,0,0,0
73,,0,0,0,0,0
74,,0,0,0,0,0
75,,0,0,0,0,0
76,,0,0,0,0,0
77,,0,0,0,0,0
78,,0,0,0,0,0
79,,0,0,0,0,0
80,,0,0,0,0,0
81,,0,0,0,0,0
82,,0,0,0,0,0
83,,0,0,0,0,0
84,,0,0,0,0,0
85,,0,0,0,0,0
86,,0,0,0,0,0
87,,0,0,0,0,0
88,,0,0,0,0,0
89,,0,0,0,0,0
90,,0,0,0,0,0
91,,0,0,0,0,0
92,,0,0,0,0,0
93,,0,0,0,0,0
94,,0,0,0,0,0
95,,0,0,0,0,0
96,,0,0,0,0,0
97,,0,0,0,0,0
98,,0,0,0,0,0
99,,0,0,0,0,0
100,,0,0,0,0,0
101,,0,0,0,0,0
102,,0,0,0,0,0
103,,0,0,0,0,0
104,,0,0,0,0,0
105,,0,0,0,0,0
106,,0,0,0,0,0
107,,0,0,0,0,0
108,,0,0,0,0,0
109,,0,0,0,0,0
110,,0,0,0,0,0
111,,0,0,0,0,0
112,,0,0,0,0,0
113,,0,0,0,0,0
114,,0,0,0,0,0
115,,0,0,0,0,0
116,,0,0,0,0,0
117,,0,0,0,0,0
118,,0,0,0,0,0
119,,0,0,0,0,0
120,,0,0,0,0,0
121,,0,0,0,0,0
