#,StageFull,Stage,IndexText2,IndexText,IndexNpc,Unknown3,Unknown4,Unknown12,Unknown13,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11
0,,,,,,0,0,0,0,158,0,0,0,0,0,0
1,"第一次基地擴建工程　物資準備中
 **請積極參加探索任務籌備物資吧！",第一次基地擴建工程　物資準備中,"是時候一起籌備物資，擴建月門基地啦！
請積極參加探索任務幫忙籌備物資！",宇宙探索終於啟航！是時候一起籌備物資，擴建月門基地啦！,探索威,241001,0,0,0,158,0,1,0,0,2,3
2,"第一次基地擴建工程　聯合工程準備中
**請為聯合工程的開工做好準備！",第一次基地擴建工程　聯合工程準備中,"擴建月門基地的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",擴建月門基地的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241001,0,0,1451,158,0,2,0,0,2,3
3,"第一次基地擴建工程　聯合工程進行中
**請積極參與其中吧！",第一次基地擴建工程　聯合工程進行中,"擴建月門基地的聯合工程正在進行中！
請一定要來幫忙呀！",擴建月門基地的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241001,0,0,0,158,0,3,0,0,2,3
4,"月門基地：二級基地　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",月門基地：二級基地　竣工,"月門基地擴建完畢啦！成果很棒！
探索活動正在有條不紊的推進著，感謝大家的幫助！",月門基地擴建完畢啦！成果很棒！感謝大家的幫助！,探索威,241002,18,0,1406,158,1,4,5,0,2,3
5,"第一次宇宙快線鋪設工程支援行動　物資收集中
 **請積極參加探索任務籌備物資吧！",第一次宇宙快線鋪設工程支援行動　物資收集中,"我們需要在月門基地附近建設快速移動的宇宙快線！
請積極參加探索任務幫忙籌備物資！",我們需要在月門基地附近建設快速移動的宇宙快線！一起籌備物資吧！,探索威,241003,0,0,0,158,1,5,0,0,2,3
6,"第一次宇宙快線鋪設工程支援行動　聯合工程準備中
**請為聯合工程的開工做好準備！",第一次宇宙快線鋪設工程支援行動　聯合工程準備中,"建設宇宙快線的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",建設宇宙快線的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241003,0,0,1451,158,1,6,0,0,2,3
7,"第一次宇宙快線鋪設工程支援行動　聯合工程進行中
**請積極參與其中吧！",第一次宇宙快線鋪設工程支援行動　聯合工程進行中,"建設宇宙快線的聯合工程正在進行中！
請一定要來幫忙呀！",建設宇宙快線的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241003,0,0,0,158,1,7,0,0,2,3
8,"宇宙快線內環線　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",宇宙快線內環線　竣工,"宇宙快線竣工啦！
這下就方便去更遠的地方探索了，感謝大家的幫助！",宇宙快線竣工啦！感謝大家的幫助！,探索威,241004,18,1,1405,158,2,8,5,0,2,3
9,"居住艙&宇宙港　建設物資準備中
 **請積極參加探索任務籌備物資吧！",居住艙&宇宙港　建設物資準備中,"我們需要建設居住艙和發射宇宙飛船的宇宙港！
請積極參加探索任務幫忙籌備物資！",我們需要建設居住艙和發射宇宙飛船的宇宙港！一起籌備物資吧！,探索威,241005,0,0,0,158,2,9,0,0,2,3
10,"居住艙安裝工程支援行動　聯合工程準備中
**請為聯合工程的開工做好準備！",居住艙安裝工程支援行動　聯合工程準備中,"建設居住艙的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",建設居住艙的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241005,0,0,1451,158,2,10,0,0,2,3
11,"居住艙安裝工程支援行動　聯合工程進行中
**請積極參與其中吧！",居住艙安裝工程支援行動　聯合工程進行中,"建設居住艙的聯合工程正在進行中！
請一定要來幫忙呀！",建設居住艙的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241005,0,0,0,158,2,11,0,0,2,3
12,"第一次宇宙港建設工程支援行動　物資準備中
**請為聯合工程的開工做好準備！",第一次宇宙港建設工程支援行動　物資準備中,"建設宇宙港的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",建設宇宙港的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241006,18,2,1401,158,3,12,5,0,2,3
13,"第一次宇宙港建設工程支援行動　聯合工程進行中
**請積極參與其中吧！",第一次宇宙港建設工程支援行動　聯合工程進行中,"建設宇宙港的聯合工程正在進行中！
請一定要來幫忙呀！",建設宇宙港的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241006,0,0,0,158,3,12,0,0,2,3
14,"居住艙&宇宙港　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",居住艙&宇宙港　竣工,"居住艙和宇宙港竣工啦！
越來越有基地的樣子了，感謝大家的幫助！",居住艙和宇宙港竣工啦！感謝大家的幫助！,探索威,241007,18,3,1401,158,4,13,5,0,2,3
15,"第一次機庫擴建工程　物資準備中
 **請積極參加探索任務籌備物資吧！",第一次機庫擴建工程　物資準備中,"我們需要改建機庫，使其具備更高性能！
請積極參加探索任務幫忙籌備物資！",我們需要改建機庫，使其具備更高性能！一起籌備物資吧！,探索威,241008,0,0,0,158,4,14,0,0,2,3
16,"第一次機庫擴建工程　聯合工程準備中
**請為聯合工程的開工做好準備！",第一次機庫擴建工程　聯合工程準備中,"改建機庫的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",改建機庫的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241008,0,0,1451,158,4,15,0,0,2,3
17,"第一次機庫擴建工程　聯合工程進行中
**請積極參與其中吧！",第一次機庫擴建工程　聯合工程進行中,"改建機庫的聯合工程正在進行中！
請一定要來幫忙呀！",改建機庫的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241008,0,0,0,158,4,16,0,0,2,3
18,"二級機庫　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",二級機庫　竣工,"機庫改建完畢啦！具備了更高性能！
相信今後機具一定能發揮更重要的作用，感謝大家的幫助！",機庫改建完畢啦！具備了更高性能！感謝大家的幫助！,探索威,241009,18,4,1402,158,5,17,5,0,2,3
19,"第二次宇宙快線鋪設工程　物資準備中
 **請積極參加探索任務籌備物資吧！",第二次宇宙快線鋪設工程　物資準備中,"我們需要建設宇宙快線西北線！
請積極參加探索任務幫忙籌備物資！",我們需要建設宇宙快線西北線！一起籌備物資吧！,探索威,241010,0,0,0,158,5,18,0,0,2,3
20,"第二次宇宙快線鋪設工程　施工中
**請靜待宇宙快線鋪設完成！",第二次宇宙快線鋪設工程　施工中,"宇宙快線西北線的竣工時間確定啦！
竣工之後整體環境將會變得更加便利，請再耐心等待一下！",宇宙快線西北線的竣工時間確定啦！,探索威,241010,0,0,1452,158,5,18,0,0,2,3
21,"宇宙快線西北線　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",宇宙快線西北線　竣工,"宇宙快線西北線竣工啦！
相信今後對於西北方的探索會更進一步，感謝大家的幫助！",宇宙快線西北線竣工啦！感謝大家的幫助！,探索威,241011,18,5,1407,158,6,19,5,0,2,3
22,"第三次宇宙快線鋪設工程　物資準備中
 **請積極參加探索任務籌備物資吧！",第三次宇宙快線鋪設工程　物資準備中,"我們需要建設宇宙快線東南線！
請積極參加探索任務幫忙籌備物資！",我們需要建設宇宙快線東南線！一起籌備物資吧！,探索威,241012,0,0,0,158,6,20,0,0,2,3
23,"第三次宇宙快線鋪設工程　施工中
**請靜待宇宙快線鋪設完成！",第三次宇宙快線鋪設工程　施工中,"宇宙快線東南線的竣工時間確定啦！
竣工之後整體環境將會變得更加便利，請再耐心等待一下！",宇宙快線東南線的竣工時間確定啦！,探索威,241012,0,0,1452,158,6,20,0,0,2,3
24,"宇宙快線東南線　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",宇宙快線東南線　竣工,"宇宙快線東南線竣工啦！
相信今後對於東南方的探索會更進一步，感謝大家的幫助！",宇宙快線東南線竣工啦！感謝大家的幫助！,探索威,241013,18,6,1409,158,7,21,5,0,2,3
25,"隧道貫通工程施工　物資準備中
 **請積極參加探索任務籌備物資吧！",隧道貫通工程施工　物資準備中,"我們需要開通穿山隧道！
請積極參加探索任務幫忙籌備物資！",我們需要開通穿山隧道！一起籌備物資吧！,探索威,241014,0,0,0,158,7,22,0,0,2,3
26,"第一次隧道貫通工程施工　聯合工程準備中
**請為聯合工程的開工做好準備！",第一次隧道貫通工程施工　聯合工程準備中,"開通隧道的第一次聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",開通隧道的第一次聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241014,0,0,1451,158,7,23,0,0,2,3
27,"第一次隧道貫通工程施工　聯合工程進行中
**請積極參與其中吧！",第一次隧道貫通工程施工　聯合工程進行中,"開通隧道的第一次聯合工程正在進行中！
請一定要來幫忙呀！",開通隧道的第一次聯合工程正在進行中！請一定要來幫忙呀！,探索威,241014,0,0,0,158,7,24,0,0,2,3
28,"第二次隧道貫通工程施工　聯合工程準備中
**請為聯合工程的開工做好準備！",第二次隧道貫通工程施工　聯合工程準備中,"開通隧道的第二次聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",開通隧道的第二次聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241015,18,7,1401,158,8,25,5,0,2,3
29,"第二次隧道貫通工程施工　聯合工程進行中
**請積極參與其中吧！",第二次隧道貫通工程施工　聯合工程進行中,"開通隧道的第二次聯合工程正在進行中！
請一定要來幫忙呀！",開通隧道的第二次聯合工程正在進行中！請一定要來幫忙呀！,探索威,241015,0,0,0,158,8,25,0,0,2,3
