#,Unknown0,Unknown1,Unknown2,Unknown5,Unknown3,Unknown4
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,11675107,2014717,1,10,7,0
48,11675108,2014717,1,11,7,0
49,11675109,2014717,1,12,7,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,2014721,3,0,4,0
54,0,2014721,3,0,4,0
55,0,2014721,3,0,4,0
56,11682080,2014720,1,0,3,3
57,11682081,2014720,1,0,3,3
58,11682082,2014720,1,0,3,3
59,11682083,2014720,1,0,3,3
60,11682084,2014720,1,0,3,3
61,11682085,2014720,1,0,3,3
62,11682086,2014720,1,0,3,3
63,11682087,2014720,1,0,3,3
64,11682088,2014720,1,0,3,3
65,11682089,2014720,1,0,3,3
66,11682090,2014720,1,0,3,3
67,11682091,2014720,1,0,3,3
68,11682096,2014720,1,0,3,3
69,11682097,2014720,1,0,3,3
70,11682098,2014720,1,0,3,3
71,11682099,2014720,1,0,3,3
72,11682100,2014720,1,0,3,3
73,11682101,2014720,1,0,3,3
74,11682102,2014720,1,0,3,3
75,11682103,2014720,1,0,3,3
76,11682104,2014720,1,0,3,3
77,11682105,2014720,1,0,3,3
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,11715687,2014717,1,13,7,0
82,11715688,2014717,1,14,7,0
83,11715689,2014717,1,15,7,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,2014723,3,0,4,0
88,0,2014723,3,0,4,0
89,0,2014723,3,0,4,0
90,0,2014723,3,0,4,0
91,11715693,2014722,1,0,3,1
92,11715694,2014722,1,0,3,1
93,11715695,2014722,1,0,3,1
94,11715696,2014722,1,0,3,1
95,11715697,2014722,1,0,3,1
96,11715698,2014722,1,0,3,1
97,11715699,2014722,1,0,3,1
98,11715700,2014722,1,0,3,1
99,11715701,2014722,1,0,3,1
100,11715702,2014722,1,0,3,1
101,11715703,2014722,1,0,3,1
102,11715704,2014722,1,0,3,1
103,11715705,2014722,1,0,3,1
104,11715706,2014722,1,0,3,1
105,11715707,2014722,1,0,3,1
106,11716854,2014722,1,0,3,1
107,11716855,2014722,1,0,3,1
108,11716856,2014722,1,0,3,1
109,11716857,2014722,1,0,3,1
110,11716858,2014722,1,0,3,1
111,11716859,2014722,1,0,3,1
112,11716860,2014722,1,0,3,1
113,11716861,2014722,1,0,3,1
114,11716862,2014722,1,0,3,1
115,11716863,2014722,1,0,3,1
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,0,0,0
136,0,0,0,0,0,0
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
146,0,0,0,0,0,0
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,0,0,0,0,0,0
153,0,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
159,0,0,0,0,0,0
160,0,0,0,0,0,0
161,0,0,0,0,0,0
162,0,0,0,0,0,0
163,0,0,0,0,0,0
164,0,0,0,0,0,0
165,0,0,0,0,0,0
166,0,0,0,0,0,0
167,0,0,0,0,0,0
168,0,0,0,0,0,0
169,0,0,0,0,0,0
170,0,0,0,0,0,0
171,0,0,0,0,0,0
172,0,0,0,0,0,0
173,0,0,0,0,0,0
174,0,0,0,0,0,0
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,0,0,0,0,0,0
179,0,0,0,0,0,0
180,0,0,0,0,0,0
181,0,0,0,0,0,0
182,0,0,0,0,0,0
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,0,0,0,0,0,0
186,0,0,0,0,0,0
187,0,0,0,0,0,0
188,0,0,0,0,0,0
189,0,0,0,0,0,0
