#,Unknown0,Unknown1,Unknown2,RequiredItem[0],RequiredItem[1],RequiredItem[2],RequiredItemQuantity[0],RequiredItemQuantity[1],RequiredItemQuantity[2],Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,MissionType,WKSMissionText
0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2000000,0,0,0,0,0,0,0,0,0,0,4,23,0,1,0,5,8,115
9,0,2000000,540,0,0,0,0,0,0,0,0,0,5,24,0,4,0,0,7,117
10,0,2000000,0,53,0,0,2,0,0,0,0,0,6,25,0,3,0,0,8,114
11,0,2000000,1000,0,0,0,0,0,0,0,426,0,7,26,0,4,0,0,1,121
12,0,2000000,0,0,0,0,0,0,0,2,0,0,8,23,0,2,2,0,8,113
13,0,2000000,2000,0,0,0,0,0,0,0,0,0,9,24,0,4,0,0,6,119
14,0,2000000,1570,0,0,0,0,0,0,0,0,0,10,26,0,4,0,0,7,117
15,0,2000000,0,69,70,0,1,1,0,0,0,0,11,23,0,3,0,0,8,114
16,0,2000000,1000,0,0,0,0,0,0,0,427,0,12,25,0,4,0,0,1,121
17,0,2000000,0,0,0,0,0,0,0,2,0,0,13,26,0,2,2,0,9,116
18,0,2000000,20000,0,0,0,0,0,0,0,0,0,14,23,0,4,0,0,6,119
19,0,2000000,200,0,0,0,0,0,0,0,428,0,15,25,0,4,0,0,1,122
20,0,2000000,0,0,0,0,0,0,0,4,0,0,16,24,0,2,2,0,8,113
21,0,2000000,0,95,0,0,3,0,0,0,0,0,17,27,0,3,0,0,8,114
22,41278,2000000,3000,0,0,0,0,0,0,0,429,0,18,23,0,4,0,0,1,121
23,0,2000000,0,0,0,0,0,0,0,3,0,0,19,27,0,2,2,0,9,116
24,0,2000000,3690,0,0,0,0,0,0,0,0,0,20,24,0,4,0,0,7,120
25,41278,2000000,2400,0,0,0,0,0,0,0,430,0,21,28,0,4,0,0,1,122
26,0,2000000,0,0,0,0,0,0,0,4,0,0,22,25,0,2,2,0,8,113
27,0,2000000,0,0,0,0,0,0,0,0,0,0,23,26,0,1,0,13,8,115
28,0,2000000,35000,0,0,0,0,0,0,0,0,0,24,28,0,4,0,0,6,119
29,0,2000000,0,135,0,0,1,0,0,0,0,0,25,24,0,3,0,0,8,114
30,0,2000000,1500,0,0,0,0,0,0,0,431,0,26,25,0,4,0,0,1,118
31,0,2000000,0,0,0,0,0,0,0,0,0,0,27,27,0,1,0,18,8,115
32,41278,2000000,5500,0,0,0,0,0,0,0,432,0,28,28,0,4,0,0,1,121
33,41278,2000000,5000,0,0,0,0,0,0,0,433,0,29,27,0,4,0,0,1,122
34,0,2000000,7730,0,0,0,0,0,0,0,0,0,30,23,0,4,0,0,7,117
35,0,2000000,30000,0,0,0,0,0,0,0,0,0,31,26,0,4,0,0,6,119
36,0,2000000,1500,0,0,0,0,0,0,0,482,0,32,31,0,4,0,0,1,118
37,0,2000000,0,0,0,0,0,0,0,0,0,0,33,29,0,1,0,18,8,115
38,0,2000000,0,222,0,0,1,0,0,0,0,0,34,28,0,3,0,0,8,114
39,0,2000000,4660,0,0,0,0,0,0,0,0,0,35,27,0,4,0,0,7,120
40,0,2000000,0,0,0,0,0,0,0,4,0,0,36,28,0,2,2,0,9,116
41,0,2000000,0,198,0,0,1,0,0,0,0,0,37,26,0,3,0,0,8,114
42,0,2000000,4510,0,0,0,0,0,0,0,0,0,38,25,0,4,0,0,7,120
43,0,2000000,0,0,0,0,0,0,0,5,0,0,39,23,0,2,2,0,8,113
44,41278,2000000,7900,0,0,0,0,0,0,0,434,0,40,27,0,4,0,0,1,121
45,41278,2000000,11700,0,0,0,0,0,0,0,435,0,41,24,0,4,0,0,1,121
46,0,2000000,2250,0,0,0,0,0,0,0,436,0,42,29,0,4,0,0,1,118
