#,Name,Question,PopRange,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,TerritoryType,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene
131072,,,0,0,0,0,0,1,1,0,0,False
131073,,,2040811,0,0,0,148,2,2,0,0,False
131074,,要進入神勇隊司令室嗎？,3884000,590352,590353,0,204,3,1,0,0,False
131075,,要離開神勇隊司令室嗎？,3884182,0,0,0,132,1,1,0,0,False
131076,,要離開芙蓉圓桌嗎？,3878860,0,0,0,133,1,1,0,0,False
131077,前往花蜜棧橋,要乘船前往花蜜棧橋嗎？,1381039,590354,590355,0,152,4,1,0,0,False
131078,,要乘船前往格里達尼亞舊街嗎？,1381038,590356,590259,0,133,4,1,0,0,False
131079,,,4124796,0,0,0,177,5,3,0,0,False
131080,,,1359058,0,0,0,179,5,4,0,0,False
131081,,,4124801,0,0,0,178,5,5,0,0,False
131082,,要離開嗎？,4125264,0,0,0,128,1,1,0,0,False
131083,,要離開嗎？,2232680,0,0,0,132,1,1,0,0,False
131084,,要離開嗎？,4125288,0,0,0,130,1,1,0,0,False
131085,,要離開銀胄團總長室嗎？,4107979,0,0,0,131,1,1,0,0,False
131086,,"要乘船前往月牙灣嗎？
交通費為40Gil。",4143657,590441,590620,590448,140,6,1,0,0,False
131087,,"要乘船前往白銀市集嗎？
交通費為40Gil。",4143677,590442,590621,590449,140,6,1,0,0,False
131088,,要進入砂之家嗎？,4107477,0,590450,0,212,7,1,0,0,False
131089,,要離開砂之家嗎？,4132388,0,0,0,140,1,1,0,0,False
131090,,要進入拂曉之間嗎？,4148347,0,590564,0,212,21,1,0,0,False
131091,,要離開拂曉之間嗎？,4148350,0,0,0,212,1,1,0,0,False
131092,4層：利姆薩·羅敏薩飛艇坪,要前往4層的利姆薩·羅敏薩飛艇坪嗎？,4158063,0,0,0,128,1,1,0,0,False
131093,2層：沉溺海豚亭,要前往2層的沉溺海豚亭嗎？,4158069,0,0,0,128,1,1,0,0,False
131094,1層：工事大廳,要前往1層的工事大廳嗎？,4161445,0,0,0,129,1,1,0,0,False
131095,4層：烏爾達哈飛艇坪,要前往4層的烏爾達哈飛艇坪嗎？,4164411,0,0,0,130,1,1,0,0,False
131096,2層：政府層,要前往2層的政府層嗎？,4164414,0,0,0,131,1,1,0,0,False
131097,1層：紅玉大路國際市場,要前往1層的紅玉大路國際市場嗎？,4164413,0,0,0,130,1,1,0,0,False
131098,,要進入銀胄團總長室嗎？,4087066,590451,590452,0,210,8,1,0,0,False
131099,,要進入有關區域嗎？,4165046,590611,0,0,146,1,1,0,0,False
131100,,要從水邊離開嗎？,4165037,590610,0,0,145,1,1,0,0,False
131101,前往格里達尼亞,"要前往格里達尼亞嗎？
交通費為120Gil。",4103382,0,590530,590453,132,9,1,227,232,True
131102,前往利姆薩·羅敏薩,"要前往利姆薩·羅敏薩嗎？
交通費為120Gil。",4103399,0,590530,590453,128,9,1,227,230,True
131103,前往烏爾達哈,"要前往烏爾達哈嗎？
交通費為120Gil。",4103339,0,589916,590454,130,9,1,231,228,True
131104,前往利姆薩·羅敏薩,"要前往利姆薩·羅敏薩嗎？
交通費為120Gil。",4103399,0,589916,590454,128,9,1,231,230,True
131105,前往烏爾達哈,"要前往烏爾達哈嗎？
交通費為120Gil。",4103339,0,590531,590455,130,9,1,229,228,True
131106,前往格里達尼亞,"要前往格里達尼亞嗎？
交通費為120Gil。",4103382,0,590531,590455,132,9,1,229,232,True
131107,,"要前往利姆薩·羅敏薩嗎？
交通費為80Gil。",4165398,0,591076,590456,129,10,1,235,234,True
131108,,"要前往黃昏灣嗎？
交通費為80Gil。",4165376,0,591077,590457,140,10,1,233,236,True
131109,前往小麥酒港,"要前往小麥酒港嗎？
交通費為40Gil。",4165794,590514,590515,590622,138,11,1,0,0,False
131110,前往利姆薩·羅敏薩,"要前往利姆薩·羅敏薩嗎？
交通費為40Gil。",4165749,590516,590517,590623,129,11,1,0,0,False
131111,前往太陽海岸,"要前往太陽海岸嗎？
交通費為40Gil。",4165755,590518,590519,590624,137,12,1,0,0,False
131112,前往利姆薩·羅敏薩,"要前往利姆薩·羅敏薩嗎？
交通費為40Gil。",4165749,590520,590521,590625,129,12,1,0,0,False
131113,前往吉吉盧恩交易商店,"要前往吉吉盧恩交易商店嗎？
交通費為40Gil。",4165801,590510,0,590511,139,13,1,0,0,False
131114,前往梅梅盧恩交易商店,"要前往梅梅盧恩交易商店嗎？
交通費為40Gil。",4165797,590512,0,590513,139,13,1,0,0,False
131115,前往小麥酒港,"要前往小麥酒港嗎？
交通費為40Gil。",4165794,590522,590626,590628,138,14,1,0,0,False
131116,前往守炬碼頭,"要前往守炬碼頭嗎？
交通費為40Gil。",4165877,590523,590627,590629,135,14,1,0,0,False
131117,從白狼門離開,要走出白狼門嗎？,1317627,590524,590525,0,148,15,1,0,0,False
131118,,要進入格里達尼亞嗎？,1317561,590529,590526,0,132,15,1,0,0,False
131119,前往接雨草樹林,"要前往接雨草樹林嗎？
交通費為40Gil。",4165759,590527,0,590630,137,16,1,0,0,False
131120,前往隱密瀑布,"要前往隱密瀑布嗎？
交通費為40Gil。",4165758,590528,0,590631,137,16,1,0,0,False
131121,前往芙蓉圓桌,要前往芙蓉圓桌嗎？,3877982,590535,590536,0,205,19,1,0,0,False
131122,前往提督室,要前往提督室嗎？,4146949,590563,0,0,198,20,1,0,0,False
131123,,要離開提督室嗎？,4169071,0,0,0,129,1,1,0,0,False
131124,,,4190590,0,0,0,134,2,2,0,0,False
131125,,,4189532,0,0,0,141,2,2,0,0,False
131126,,要前往米諾陶洛斯里程嗎？,4165939,590603,0,0,146,1,1,0,0,False
131127,,要前往納爾神祠嗎？,4165935,590604,0,0,146,1,1,0,0,False
131128,,要返回休息廳嗎？,4103339,590607,0,0,130,1,1,0,0,False
131129,,要返回休息廳嗎？,4103382,590608,0,0,132,1,1,0,0,False
131130,,要返回休息廳嗎？,4103399,590609,0,0,128,1,1,0,0,False
131131,前往狼獄水上鬥技場,要前往狼獄水上鬥技場嗎？,4264415,590632,0,0,250,1,1,0,0,False
131132,前往莫拉比造船廠,要前往莫拉比造船廠嗎？,4264426,590633,0,0,135,1,1,0,0,False
131133,前往小麥酒港,要前往小麥酒港嗎？,4165794,590634,0,0,138,1,1,0,0,False
131134,前往幻影群島,"要前往幻影群島嗎？
交通費為40Gil。",4264587,590635,590636,590637,138,22,1,0,0,False
131135,前往小麥酒港,要前往小麥酒港嗎？,4165794,0,0,0,138,1,1,0,0,False
131136,前往海蛇巢穴,"要前往海蛇巢穴嗎？
交通費為40Gil。",4264605,590638,590639,590640,138,23,1,0,0,False
131137,,要離開秘密工坊嗎？,4321669,0,0,0,156,1,1,0,0,False
131138,,要前往格里達尼亞嗎？,4102803,590843,0,0,132,1,1,0,0,False
131139,,要退出「巴哈姆特大迷宮邂逅之章」嗎？,4332112,0,0,0,137,1,1,0,0,False
131140,,要退出「巴哈姆特大迷宮邂逅之章」嗎？,4332121,0,0,0,147,1,1,0,390,False
131141,,要啟動嗎？,4331241,0,0,0,247,1,1,389,0,False
131142,,要進入拂曉之間嗎？,4498658,0,0,0,351,1,1,0,0,False
131143,,要離開拂曉之間嗎？,4498656,0,0,0,351,1,1,0,0,False
131144,,要進入石之家嗎？,4498659,0,0,0,351,1,1,0,0,False
131145,,要離開石之家嗎？,4498857,0,0,0,156,1,1,0,0,False
131146,,要進入八劍士前庭嗎？,4506602,0,0,0,156,1,1,0,0,False
131147,,要離開八劍士前庭嗎？,4506605,0,0,0,156,1,1,0,0,False
131148,,要進入這間房屋嗎？,0,0,0,0,0,1,6,0,0,False
131149,,要離開這間房屋嗎？,0,0,0,0,0,1,7,0,0,False
131150,,,4549235,591149,0,0,340,1,1,0,0,False
131151,,,4549391,591150,0,0,148,1,1,0,0,False
131152,,要離開第13洞穴團鍊金工坊嗎？,4618997,0,0,0,180,1,1,0,0,False
131153,,要返回到諾布養育場嗎？,4629135,0,0,0,138,1,1,0,0,False
131154,,要返回到諾布養育場嗎？,4629135,0,0,0,138,1,1,0,0,False
131155,,要返回到諾布養育場嗎？,4629135,0,0,0,138,1,1,0,0,False
131156,,要返回到諾布養育場嗎？,4629135,0,0,0,138,1,1,0,0,False
131157,,要返回到諾布養育場嗎？,4629135,0,0,0,138,1,1,0,0,False
131158,前往薰衣草苗圃,,4549235,591254,591260,0,340,24,1,0,0,False
131159,,,1381038,591255,591261,0,133,24,1,0,0,False
131160,前往海霧村,,4664433,591256,591262,0,339,25,1,0,0,False
131161,,,4165749,591257,591263,0,129,25,1,0,0,False
131162,,,4656744,591258,591264,0,341,26,1,0,0,False
131163,,,4660251,591259,591265,0,131,26,1,0,0,False
131164,,要離開艾奧傑亞地下空間嗎？,4678209,0,0,0,154,1,1,0,0,False
131165,,要退出「巴哈姆特大迷宮入侵之章」嗎？,4332121,0,0,0,147,1,1,0,0,False
131166,,要進入接待室嗎？,5036036,591750,0,0,395,1,1,0,0,False
131167,,要離開接待室嗎？,5036025,0,0,0,155,1,1,0,0,False
131168,,要離開會場嗎？,5038695,0,0,0,152,1,1,0,0,False
131169,前往海上的大型船,要前往海上的大型船嗎？,5049372,590097,0,0,137,1,1,0,0,False
131170,前往太陽海岸,要前往太陽海岸嗎？,4165755,590098,0,0,137,1,1,0,0,False
131171,,要離開雙劍士行會嗎？,5341046,0,0,0,129,1,1,0,0,False
131172,進入雙劍士行會,要進入雙劍士行會嗎？,5341051,591865,0,0,129,27,1,0,0,False
131173,,要離開碼頭小屋嗎？,5341521,0,0,0,137,1,1,0,0,False
131174,進入碼頭小屋,要進入碼頭小屋嗎？,5341524,591889,591888,0,137,28,1,0,0,False
131175,,要離開艾奧傑亞地下空間嗎？,5404445,0,0,0,147,1,1,0,0,False
131176,,要進入久遠聖堂嗎？,5038252,0,0,0,392,1,8,0,0,False
131177,,要前往陸行鳥廣場嗎？,5448900,591975,0,0,388,1,1,0,0,False
131178,,要前往入口廣場嗎？,5448873,591981,0,0,144,1,1,0,0,False
131179,前往金碟遊樂園,"要前往金碟遊樂園嗎？
不收取任何交通費用。",5649379,0,591990,0,144,29,1,0,0,False
131180,前往金碟遊樂園,"要前往金碟遊樂園嗎？
不收取任何交通費用。",5649379,0,591990,0,144,29,1,0,0,False
131181,前往金碟遊樂園,"要前往金碟遊樂園嗎？
不收取任何交通費用。",5649379,0,591990,0,144,29,1,0,0,False
131182,前往利姆薩·羅敏薩,"要前往利姆薩·羅敏薩嗎？
交通費為120Gil。",4103399,0,0,592264,128,30,1,0,0,False
131183,前往烏爾達哈,"要前往烏爾達哈嗎？
不收取任何交通費用。",4103339,0,0,0,130,1,1,0,0,False
131184,前往格里達尼亞,"要前往格里達尼亞嗎？
交通費為120Gil。",4103382,0,0,592264,132,30,1,0,0,False
131185,,要前往伊修加爾德嗎？,5827477,592249,0,0,418,1,1,0,0,False
131186,,要前往大審門嗎？,5835896,592250,0,0,155,1,1,0,0,False
131187,前往輕羽鬥技場,要進入輕羽鬥技場嗎？,5822019,592251,0,0,439,1,1,0,0,False
131188,前往雲頂營地,"要前往雲頂營地嗎？
不收取任何交通費用。",5835987,0,0,0,401,1,1,0,0,False
131189,,要前往藍天窗嗎？,5836049,592253,0,0,401,1,1,0,0,False
131190,前往魔大陸阿濟茲拉,要前往魔大陸阿濟茲拉嗎？,5836085,592254,0,0,402,1,1,0,0,False
131191,,要進入聖恩達利姆神學院嗎？,5821242,592255,0,0,427,1,1,0,0,False
131192,,要進入福爾唐伯爵府嗎？,5822004,592256,0,0,433,1,1,0,0,False
131193,,要離開聖恩達利姆神學院嗎？,5827748,0,0,0,419,1,1,0,0,False
131194,,要離開神殿騎士團總騎士長室嗎？,5827491,0,0,0,418,1,1,0,0,False
131195,,要離開福爾唐伯爵府嗎？,5827750,0,0,0,419,1,1,0,0,False
131196,,要離開輕羽鬥技場嗎？,5827495,0,0,0,418,1,1,0,0,False
131197,,"要前往伊修加爾德飛艇坪嗎？
不收取任何交通費用。",5835975,592257,0,0,419,1,1,0,0,False
131198,,要前往伊修加爾德飛艇坪嗎？,5835975,0,0,0,419,1,1,0,0,False
131199,,要前往德拉瓦尼亞雲海嗎？,5836077,592259,0,0,400,1,1,0,0,False
131200,,要前往德拉瓦尼亞山麓地嗎？,5836076,0,0,0,398,1,1,0,0,False
131201,,要進入瑪托雅的洞穴嗎？,5851087,0,0,0,463,1,1,0,0,False
131202,,要離開瑪托雅的洞穴嗎？,5822097,0,0,0,399,1,1,0,0,False
131203,,要前往伊修加爾德飛艇坪嗎？,5835975,0,0,0,419,1,1,0,0,False
131204,,,5878288,0,0,0,429,5,9,0,0,False
131205,,要離開嗎？,5878405,0,0,0,418,1,1,0,0,False
131206,,要離開供奉洞嗎？,5857271,0,0,0,398,1,1,0,0,False
131207,,要前往阿爾法管區嗎？,5890154,0,0,0,402,1,1,0,0,False
131208,,要前往貝塔管區嗎？,5890159,0,0,0,402,1,1,0,0,False
131209,,要前往貝塔管區嗎？,5890166,0,0,0,402,1,1,0,0,False
