#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
1,碧空,,,,,,60201
2,晴朗,,,,,,60202
3,陰雲,,,,,,60203
4,薄霧,,,,,,60204
5,微風,,,,,,60205
6,強風,,,,,,60206
7,小雨,,,,,,60207
8,暴雨,,,,,,60208
9,打雷,,,,,,60209
10,雷雨,,,,,,60210
11,揚沙,,,,,,60211
12,沙塵暴,,,,,,60212
13,高溫,,,,,,60213
14,熱浪,,,,,,60214
15,小雪,,,,,,60215
16,暴雪,,,,,,60216
17,妖霧,,,,,,60218
18,極光,,,,,,60217
19,黑暗,,,,,,60251
20,絕命,,,,,,60255
21,陰雲,,,,,,60203
22,雷雲,,,,,,60259
23,暴風雨,,,,,,60258
24,暴風雨,,,,,,60258
25,陰沉,,,,,,60257
26,熱浪,,,,,,60252
27,妖霧,,,,,,60256
28,暴風,,,,,,60253
29,煙霧,,,,,,60254
30,晴朗,,,,,,60202
31,晴朗,,,,,,60202
32,晴朗,,,,,,60202
33,晴朗,,,,,,60202
34,晴朗,,,,,,60202
35,極光,,,,,,60260
36,輝核,,,,,,60261
37,輝核,,,,,,60261
38,輝核,,,,,,60261
39,輝核,,,,,,60261
40,灘雲,,,,,,60262
41,灘雲,,,,,,60262
42,灘雲,,,,,,60262
43,灘雲,,,,,,60262
44,神意,,,,,,60264
45,神意,,,,,,60264
46,神意,,,,,,60264
47,神意,,,,,,60264
48,神意,,,,,,60264
49,靈風,,,,,,60219
50,靈電,,,,,,60220
51,煙武,,,,,,60263
52,晴朗,,,,,,60202
53,獸雷,,,,,,60226
54,雷波,,,,,,60227
55,獸雷,,,,,,60226
56,神意,,,,,,60264
57,打雷,,,,,,60209
58,打雷,,,,,,60209
59,,,,,,,0
60,神秘,,,,,,60265
61,神秘,,,,,,60265
62,小雨,,,,,,60207
63,晴朗,,,,,,60202
64,小雨,,,,,,60207
65,晴朗,,,,,,60202
66,邪天,,,,,,60266
67,邪天,,,,,,60266
68,晴朗,,,,,,60202
69,平衡,,,,,,60267
70,平衡,,,,,,60267
71,時光,,,,,,60268
72,時光,,,,,,60268
73,時光,,,,,,60268
74,鬼氣,,,,,,60269
75,鬼氣,,,,,,60269
76,鬼氣,,,,,,60269
77,次元,,,,,,60274
78,次元,,,,,,60274
79,次元,,,,,,60274
80,豪雨,,,,,,60271
81,豪雨,,,,,,60271
82,極樂,,,,,,60270
83,極樂,,,,,,60270
84,龍威,,,,,,60272
85,龍威,,,,,,60272
86,豪雨,,,,,,60271
87,迅雷,,,,,,60273
88,打雷,,,,,,60209
89,次元,,,,,,60274
90,晴朗,,,,,,60202
91,碧空,,,,,,60201
92,白旋風,,,,,,60275
93,白旋風,,,,,,60275
94,白旋風,,,,,,60275
95,幻想,,,,,,60277
96,白旋風,,,,,,60275
97,月夜,,,,,,60276
98,月夜,,,,,,60276
99,月夜,,,,,,60276
100,月夜,,,,,,60276
101,紅月下,,,,,,60293
102,朱炎,,,,,,60278
