#,Type,Data,Icon,Unknown0,Text,Unknown1
0,0,0,0,0,0,0
1,5,49,113001,0,1,3
2,1,50,113002,0,2,3
3,2,59,113003,0,3,3
4,1,60,113004,0,4,3
5,0,30001,113005,0,0,0
6,0,30011,113006,0,0,0
7,0,30020,113007,0,0,0
8,0,30029,113008,0,0,0
9,0,30021,113010,0,0,0
10,0,30022,113011,0,0,0
11,0,30023,113012,0,0,0
12,0,30024,113013,0,0,0
13,0,20010,113018,0,0,0
14,0,20009,113019,0,0,0
15,0,20008,113020,0,0,0
16,0,20012,113021,0,0,0
17,0,20018,113022,0,0,0
18,0,20023,113023,0,0,0
19,0,20025,113024,0,0,0
20,0,20013,113025,0,0,0
21,0,20027,113026,0,0,0
22,0,20034,113027,0,0,0
23,0,20032,113028,0,0,0
24,0,30002,113032,0,0,0
25,0,30003,113033,0,0,0
26,0,30004,113034,0,0,0
27,0,30005,113035,0,0,0
28,0,30006,113036,0,0,0
29,0,30007,113037,0,0,0
30,0,30008,113038,0,0,0
31,0,30009,113039,0,0,0
32,0,30010,113040,0,0,0
33,0,30016,113041,0,0,0
34,0,30017,113042,0,0,0
35,0,30018,113043,0,0,0
36,0,30019,113044,0,0,0
37,0,50001,113045,0,0,2
38,0,50003,113046,0,0,2
39,0,50004,113047,0,0,2
40,0,50005,113048,0,0,2
41,0,30038,113009,0,0,0
42,0,30030,113014,0,0,0
43,0,30031,113015,0,0,0
44,0,30032,113016,0,0,0
45,0,30033,113017,0,0,0
46,3,10,113050,0,10,1
47,0,60001,113051,0,0,0
48,0,60002,113052,0,0,0
49,0,60003,113053,0,0,0
50,0,60004,113054,0,0,0
51,0,60005,113055,0,0,0
52,3,5,113122,0,17,2
53,3,9,113056,0,12,3
54,3,6,113057,0,6,2
55,0,30039,113058,0,0,0
56,0,30040,113059,0,0,0
57,0,30041,113060,0,0,0
58,0,30042,113061,0,0,0
59,2,69,113062,0,8,3
60,1,70,113063,0,9,3
61,0,30047,113064,0,0,0
62,0,20036,113029,0,0,0
63,0,20038,113030,0,0,0
64,0,20040,113031,0,0,0
65,0,20042,113065,0,0,0
66,0,20044,113066,0,0,0
67,3,12,113085,0,11,2
68,0,30058,113068,0,0,0
69,0,30049,113069,0,0,0
70,0,30050,113070,0,0,0
71,0,30051,113071,0,0,0
72,0,30052,113072,0,0,0
73,0,30068,113073,0,0,0
74,0,30059,113074,0,0,0
75,0,30060,113075,0,0,0
76,0,30061,113076,0,0,0
77,0,30062,113077,0,0,0
78,0,20047,113078,0,0,0
79,0,20049,113079,0,0,0
80,0,30069,113081,0,0,0
81,0,30070,113082,0,0,0
82,0,30071,113083,0,0,0
83,0,30072,113084,0,0,0
84,0,30077,113080,0,0,0
85,2,79,113086,0,13,3
86,1,80,113087,0,14,3
87,0,20052,113088,0,0,0
88,0,20056,113089,0,0,0
89,0,20058,113090,0,0,0
90,0,20054,113091,0,0,0
91,0,20061,113092,0,0,0
92,0,30078,113093,0,0,0
93,0,30082,113094,0,0,0
94,0,30080,113095,0,0,0
95,0,30084,113096,0,0,0
96,0,30087,113097,0,0,0
97,0,30088,113098,0,0,0
98,0,30090,113099,0,0,0
99,0,30092,113100,0,0,0
100,0,30094,113101,0,0,0
101,0,20063,113102,0,0,0
102,0,20065,113103,0,0,0
103,0,30096,113104,0,0,0
104,0,30097,113105,0,0,0
105,0,30099,113106,0,0,0
106,0,30101,113107,0,0,0
